run,tag,step,wall_time,value
diffusion_level_0_02-07-08:41,Best Val Loss,0,1782974529.9989114,1.0074090957641602
diffusion_level_0_02-07-08:41,Best Val Loss,2,1782974548.8960755,0.604656457901001
diffusion_level_0_02-07-08:41,Best Val Loss,4,1782974568.1031926,0.4167461097240448
diffusion_level_0_02-07-08:41,Best Val Loss,6,1782974587.6258829,0.2643103003501892
diffusion_level_0_02-07-08:41,Best Val Loss,8,1782974607.3112607,0.24727264046669006
diffusion_level_0_02-07-08:41,Best Val Loss,10,1782974626.8854668,0.21202075481414795
diffusion_level_0_02-07-08:41,Best Val Loss,12,1782974646.5017319,0.21035650372505188
diffusion_level_0_02-07-08:41,Best Val Loss,14,1782974666.371898,0.16687794029712677
diffusion_level_0_02-07-08:41,Best Val Loss,20,1782974726.4482994,0.1534382700920105
diffusion_level_0_02-07-08:41,Best Val Loss,22,1782974746.503038,0.11564842611551285
diffusion_level_0_02-07-08:41,Best Val Loss,34,1782974866.6159074,0.11331065744161606
diffusion_level_0_02-07-08:41,Best Val Loss,38,1782974906.79339,0.07275892049074173
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,0,1782974529.9403439,0.8923177719116211
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,2,1782974548.8229768,0.5253775715827942
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,4,1782974568.0291662,0.362996369600296
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,6,1782974587.558407,0.22982534766197205
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,8,1782974607.2428803,0.22264209389686584
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,10,1782974626.8100789,0.19353117048740387
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,12,1782974646.4266481,0.1959388256072998
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,14,1782974666.3039894,0.15525241196155548
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,16,1782974686.4758651,0.16408219933509827
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,18,1782974706.5031939,0.1739736646413803
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,20,1782974726.3777452,0.14746849238872528
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,22,1782974746.3166199,0.11068791896104813
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,24,1782974766.367692,0.1416018009185791
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,26,1782974786.8653085,0.12588998675346375
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,28,1782974806.7106514,0.16036364436149597
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,30,1782974826.7051563,0.12239696085453033
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,32,1782974846.7676532,0.1317673772573471
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,34,1782974866.5434709,0.11217270791530609
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,36,1782974886.5734155,0.12447945773601532
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,38,1782974906.7251198,0.07212240993976593
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,40,1782974926.492356,0.07937981188297272
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,42,1782974946.9775422,0.11789918690919876
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,44,1782974966.5734043,0.10678110271692276
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,46,1782974986.5668416,0.09614362567663193
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,48,1782975006.244797,0.14900709688663483
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,50,1782975026.3057134,0.12564560770988464
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,52,1782975046.4845483,0.13680091500282288
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,54,1782975066.3606923,0.11494235694408417
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,56,1782975086.257086,0.09130992740392685
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,58,1782975106.0783827,0.07437733560800552
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,60,1782975126.4083014,0.10896449536085129
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,62,1782975146.7289217,0.10185070335865021
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,64,1782975166.5170243,0.13713338971138
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,66,1782975186.3956482,0.11437679827213287
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,68,1782975206.5590823,0.10227499157190323
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,70,1782975226.7134917,0.13745103776454926
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,72,1782975246.817575,0.10673026740550995
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,74,1782975266.9829748,0.1304069608449936
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,76,1782975286.9962597,0.14475712180137634
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,78,1782975306.9358516,0.13463744521141052
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,80,1782975327.5994213,0.12090273201465607
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,82,1782975347.8550656,0.11371664702892303
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,84,1782975368.0436816,0.12406498938798904
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,86,1782975388.7178435,0.10089632123708725
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,88,1782975408.7199872,0.1395024061203003
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,90,1782975428.4331217,0.1587047129869461
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,92,1782975448.604523,0.1360630840063095
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,94,1782975468.5803266,0.17796671390533447
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,96,1782975488.7065773,0.17590947449207306
diffusion_level_0_02-07-08:41/Loss_Val_Val_BCE,Loss/Val,98,1782975509.2711468,0.08667599409818649
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,0,1782974529.9403439,0.11509137600660324
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,2,1782974548.8229768,0.07927889376878738
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,4,1782974568.0291662,0.05374973267316818
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,6,1782974587.558407,0.034484945237636566
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,8,1782974607.2428803,0.02463054098188877
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,10,1782974626.8100789,0.01848958060145378
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,12,1782974646.4266481,0.014417672529816628
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,14,1782974666.3039894,0.011625523678958416
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,16,1782974686.4758651,0.009122026152908802
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,18,1782974706.5031939,0.0073918369598686695
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,20,1782974726.3777452,0.00596978422254324
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,22,1782974746.3166199,0.004960507154464722
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,24,1782974766.367692,0.003895300440490246
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,26,1782974786.8653085,0.0031269106548279524
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,28,1782974806.7106514,0.002489217557013035
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,30,1782974826.7051563,0.001889593550004065
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,32,1782974846.7676532,0.001468764035962522
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,34,1782974866.5434709,0.0011379474308341742
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,36,1782974886.5734155,0.0009524773340672255
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,38,1782974906.7251198,0.0006365076988004148
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,40,1782974926.492356,0.0005049399333074689
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,42,1782974946.9775422,0.0004190774925518781
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,44,1782974966.5734043,0.00032857820042409003
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,46,1782974986.5668416,0.00022911046107765287
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,48,1782975006.244797,0.000230760924750939
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,50,1782975026.3057134,0.00015668553533032537
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,52,1782975046.4845483,0.00015394811634905636
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,54,1782975066.3606923,9.175615559797734e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,56,1782975086.257086,6.803184078307822e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,58,1782975106.0783827,4.838992754230276e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,60,1782975126.4083014,5.0888244004454464e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,62,1782975146.7289217,3.536016447469592e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,64,1782975166.5170243,4.2096697143279016e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,66,1782975186.3956482,2.8492187993833795e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,68,1782975206.5590823,2.4374807253479958e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,70,1782975226.7134917,2.441570904920809e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,72,1782975246.817575,1.8323229596717283e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,74,1782975266.9829748,1.769169102772139e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,76,1782975286.9962597,1.8812195776263252e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,78,1782975306.9358516,1.769526170392055e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,80,1782975327.5994213,1.2683764907706063e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,82,1782975347.8550656,1.4466658285527956e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,84,1782975368.0436816,1.4516796909447294e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,86,1782975388.7178435,1.049678394338116e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,88,1782975408.7199872,1.3256592865218408e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,90,1782975428.4331217,1.2691243682638742e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,92,1782975448.604523,1.345979399047792e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,94,1782975468.5803266,1.4280652067100164e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,96,1782975488.7065773,1.3160110029275529e-05
diffusion_level_0_02-07-08:41/Loss_Val_Val_MSE,Loss/Val,98,1782975509.2711468,8.935683581512421e-06
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,0,1782974529.9403439,1.0074090957641602
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,2,1782974548.8229768,0.604656457901001
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,4,1782974568.0291662,0.4167461097240448
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,6,1782974587.558407,0.2643103003501892
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,8,1782974607.2428803,0.24727264046669006
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,10,1782974626.8100789,0.21202075481414795
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,12,1782974646.4266481,0.21035650372505188
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,14,1782974666.3039894,0.16687794029712677
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,16,1782974686.4758651,0.1732042282819748
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,18,1782974706.5031939,0.181365504860878
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,20,1782974726.3777452,0.1534382700920105
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,22,1782974746.3166199,0.11564842611551285
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,24,1782974766.367692,0.14549709856510162
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,26,1782974786.8653085,0.12901689112186432
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,28,1782974806.7106514,0.16285286843776703
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,30,1782974826.7051563,0.12428655475378036
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,32,1782974846.7676532,0.1332361400127411
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,34,1782974866.5434709,0.11331065744161606
diffusion_level_0_02-07-08:41/Loss_Val_Val_Total,Loss/Val,36,1782974886.5734155,0.12543193995952606
